ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,survey_code,How much would you pay for an Amazon.com gift card valued at $50?,How much would you pay for an Amazon.com gift card valued at $50.08?,How much would you pay for an Amazon.com gift card valued at $50.45?,How much would you pay for an Amazon.com gift card valued at $49.55?,How much would you pay for an Amazon.com gift card valued at $49.92?,What is your gender?,Indicate total household income:,What is your highest level of education?,What is your age?,LocationLatitude,LocationLongitude,LocationAccuracy,,values,Question,is.$49.55,is.$49.92,is.$50,is.$50.08,is.$50.45,is.nan,TimezoneName,TimezoneId,is.Atlantic Standard Time,is.Central Standard Time,is.Eastern Standard Time,is.Greenwich Mean Time,is.Hawaii-Aleutian Standard Time,is.India Standard Time,is.Mountain Standard Time,is.Pacific Standard Time,is.Peru Standard Time,Education,is.Associates,is.Bachelor,is.College,is.Graduate,is.Highschool,is.None,gender
R_3sKHsLxXwSgEomx,Default Response Set,Anonymous,,,72.22.126.30,0,2015-08-04 07:44:20,2015-08-04 07:44:39,1,49851406,,45,,,,2,49000,2,31,36.784698486328,-86.211898803711,-1,,45,$50.08,0,0,0,1,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_2uhO8F2N44XYOvX,Default Response Set,Anonymous,,,67.253.30.176,0,2015-08-04 07:44:29,2015-08-04 07:44:50,1,31492413,,,,,49.92,2,50000,3,35,46.688507080078,-67.991096496582,-1,,49.92,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Female
R_5jLZ0Aq6Zu7gD1b,Default Response Set,Anonymous,,,76.224.178.21,0,2015-08-04 07:45:02,2015-08-04 07:45:25,1,41923665,49,,,,,1,48000,4,31,32.619201660156,-97.275497436523,-1,,49,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_elfrmr2AwcainPf,Default Response Set,Anonymous,,,76.3.123.158,0,2015-08-04 07:46:26,2015-08-04 07:46:54,1,30048057,,40,,,,2,29000,1,35,35.948806762695,-78.10009765625,-1,,40,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Highschool,0,0,0,0,1,0,Female
R_b1kUFJloBiaw4Yt,Default Response Set,Anonymous,,,74.111.26.20,0,2015-08-04 07:43:51,2015-08-04 07:47:57,1,95233651,,,,,42,2,91000,5,38,43.089202880859,-76.025001525879,-1,,42,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Female
R_6tBsik3v8lufDTv,Default Response Set,Anonymous,,,204.126.138.241,0,2015-08-04 07:47:54,2015-08-04 07:48:12,1,57001545,40,,,,,1,52000,4,32,35.5751953125,-97.638496398926,-1,,40,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_ezdztDuxA6ZXwl7,Default Response Set,Anonymous,,,72.22.126.30,0,2015-08-04 07:48:10,2015-08-04 07:48:27,1,60283439,50,,,,,2,70000,3,34,36.784698486328,-86.211898803711,-1,,50,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Female
R_bxR3QAARXkL92bX,Default Response Set,Anonymous,,,65.96.167.156,0,2015-08-04 07:48:39,2015-08-04 07:48:53,1,67974976,,,50,,,2,30000,4,33,42.364593505859,-71.102798461914,-1,,50,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_ai4JZXkgPV3HxCB,Default Response Set,Anonymous,,,68.97.166.204,0,2015-08-04 07:49:02,2015-08-04 07:49:21,1,44041203,,,,40,,1,52000,3,43,35.460494995117,-97.397399902344,-1,,40,$49.55,1,0,0,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Male
R_0Nd8rmQzELi90Vf,Default Response Set,Anonymous,,,108.193.223.1,0,2015-08-04 07:49:08,2015-08-04 07:49:22,1,62615040,35,,,,,1,9000,3,25,34.076095581055,-118.14419555664,-1,,35,$50,0,0,1,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Associates,1,0,0,0,0,0,Male
R_cNr3sTXlgv32UYJ,Default Response Set,Anonymous,,,97.84.173.192,0,2015-08-04 07:49:00,2015-08-04 07:49:24,1,31123117,,,,,49.92,1,42000,2,38,43.498901367188,-84.15599822998,-1,,49.92,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_0CIGUiEhoyUNg7H,Default Response Set,Anonymous,,,75.162.127.207,0,2015-08-04 07:49:17,2015-08-04 07:49:45,1,47773529,,,45.00,,,2,69000,4,42,40.657592773438,-111.88400268555,-1,,45.00,$50.45,0,0,0,0,1,0,Mountain Standard Time,America/Denver,0,0,0,0,0,0,1,0,0,Bachelor,0,1,0,0,0,0,Female
R_8kORgAl2Ym6NITX,Default Response Set,Anonymous,,,65.32.183.85,0,2015-08-04 07:50:48,2015-08-04 07:51:07,1,46249687,,,30,,,2,30000,1,36,28.381896972656,-82.650497436523,-1,,30,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Highschool,0,0,0,0,1,0,Female
R_725eTOMLhCWUo8B,Default Response Set,Anonymous,,,216.246.138.233,0,2015-08-04 07:50:47,2015-08-04 07:51:10,1,39433495,,,,,45,1,35000,1,38,43.564498901367,-71.482002258301,-1,,45,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Highschool,0,0,0,0,1,0,Male
R_4ZOQE1vd44iyMXX,Default Response Set,Anonymous,,,96.232.199.90,0,2015-08-04 07:50:32,2015-08-04 07:51:14,1,88848282,,,40,,,1,52000,4,33,40.595001220703,-73.78759765625,-1,,40,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_1SxJiee1Gl2KKeF,Default Response Set,Anonymous,,,216.162.147.69,0,2015-08-04 07:50:39,2015-08-04 07:51:17,1,61062632,,40.00,,,,1,10000,4,24,30.456298828125,-84.353996276855,-1,,40.00,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_bpzLHaEJEVrI3HL,Default Response Set,Anonymous,,,76.187.76.122,0,2015-08-04 07:51:06,2015-08-04 07:51:37,1,51156869,,,,,45.00,1,35000,2,30,33.14990234375,-96.855499267578,-1,,45.00,$49.92,0,1,0,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_9FUOU4b2SqtAd0N,Default Response Set,Anonymous,,,74.74.177.129,0,2015-08-04 07:51:36,2015-08-04 07:51:55,1,97115999,,,,,49.92,2,35000,3,32,43.129898071289,-77.608200073242,-1,,49.92,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Female
R_9Am1K2ajO3sRshf,Default Response Set,Anonymous,,,71.236.116.10,0,2015-08-04 07:52:39,2015-08-04 07:53:00,1,69844542,,50.00,,,,2,32500,3,38,40.158203125,-80.255302429199,-1,,50.00,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Female
R_3pZa7E377mvjhxX,Default Response Set,Anonymous,,,74.84.127.14,0,2015-08-04 07:52:54,2015-08-04 07:53:10,1,43684649,,,,30.00,,1,80000,4,30,42.527206420898,-90.774002075195,-1,,30.00,$49.55,1,0,0,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_bxvSgvhLtZS2Ol7,Default Response Set,Anonymous,,,142.197.199.3,0,2015-08-04 07:53:24,2015-08-04 07:54:12,1,15165817,35,,,,,1,12000,2,23,29.056304931641,-82.025703430176,-1,,35,$50,0,0,1,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_3zc0nsskjFbMIsd,Default Response Set,Anonymous,,,68.81.222.232,0,2015-08-04 07:54:03,2015-08-04 07:54:34,1,92916305,,,,30.00,,1,25000,2,28,40.221603393555,-75.237998962402,-1,,30.00,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_86sS97UhFGE3gWx,Default Response Set,Anonymous,,,97.80.154.178,0,2015-08-04 07:54:01,2015-08-04 07:54:39,1,10757300,,,,35.00,,1,50000,2,39,33.47770690918,-84.038803100586,-1,,35.00,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_b4bEJKB8COWE7iZ,Default Response Set,Anonymous,,,75.128.126.88,0,2015-08-04 07:54:31,2015-08-04 07:55:01,1,42274851,,40.00,,,,1,45000,1,32,45.201095581055,-85.012001037598,-1,,40.00,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Highschool,0,0,0,0,1,0,Male
R_cx8cQj3sKMx8c7z,Default Response Set,Anonymous,,,68.39.167.122,0,2015-08-04 07:56:28,2015-08-04 07:56:55,1,70149133,,,40,,,1,30000,4,25,40.763107299805,-86.091796875,-1,,40,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_bayKxyyox1aRS5L,Default Response Set,Anonymous,,,75.142.10.9,0,2015-08-04 07:57:06,2015-08-04 07:57:29,1,33928167,50,,,,,1,50000,4,39,42.339294433594,-122.79869842529,-1,,50,$50,0,0,1,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Male
R_cRMjIzFTqsgPJUF,Default Response Set,Anonymous,,,67.86.225.98,0,2015-08-04 07:57:19,2015-08-04 07:57:47,1,49922496,50,,,,,1,50000,5,28,40.864807128906,-73.886703491211,-1,,50,$50,0,0,1,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Male
R_5pA7YK2hozy6VTf,Default Response Set,Anonymous,,,107.188.28.205,0,2015-08-04 07:58:28,2015-08-04 07:58:52,1,93907000,,,,45,,2,52000,4,26,40.847198486328,-73.898300170898,-1,,45,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_5BgzY3J7GL4zseV,Default Response Set,Anonymous,,,76.177.192.54,0,2015-08-04 07:59:52,2015-08-04 08:00:08,1,89326961,,,,30,,2,50000,4,28,37.645401000977,-84.817100524902,-1,,30,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_b3LzToyaZSOx6M5,Default Response Set,Anonymous,,,98.157.200.48,0,2015-08-04 07:59:43,2015-08-04 08:00:13,1,52693474,,,40,,,1,58000,4,52,39.466201782227,-87.314796447754,-1,,40,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_01C8lg3g8RyxD13,Default Response Set,Anonymous,,,71.51.2.217,0,2015-08-04 08:01:29,2015-08-04 08:01:51,1,63437275,,,,,45,2,35000,4,31,37.835098266602,-78.281196594238,-1,,45,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_0ffSmtpuHsr4LnT,Default Response Set,Anonymous,,,67.8.181.47,0,2015-08-04 08:04:05,2015-08-04 08:04:26,1,53029332,,,,,49.92,1,78000,3,27,28.676605224609,-81.199096679688,-1,,49.92,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Associates,1,0,0,0,0,0,Male
R_brosMwlrWp6md2l,Default Response Set,Anonymous,,,108.215.72.246,0,2015-08-04 08:05:54,2015-08-04 08:06:14,1,98611651,,,,40.00,,2,35000,2,35,32.924499511719,-96.893798828125,-1,,40.00,$49.55,1,0,0,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_4GVRT7tcYhnmqSV,Default Response Set,Anonymous,,,70.194.33.82,0,2015-08-04 08:08:40,2015-08-04 08:10:04,1,17032570,49,,,,,2,180000,4,42,42.646499633789,-83.355400085449,-1,,49,$50,0,0,1,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_bmzO5oPrPHs9Ndj,Default Response Set,Anonymous,,,50.153.173.57,0,2015-08-04 08:15:57,2015-08-04 08:16:26,1,50577469,,,45,,,2,95000,2,37,40.077301025391,-76.594299316406,-1,,45,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_2iAbNqLg1rDFVyJ,Default Response Set,Anonymous,,,68.103.217.177,0,2015-08-04 08:17:25,2015-08-04 08:17:42,1,22159575,50.00,,,,,2,55000,2,37,37.072998046875,-95.61840057373,-1,,50.00,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_85JjxoYrb6Lpu0R,Default Response Set,Anonymous,,,76.236.14.160,0,2015-08-04 08:21:11,2015-08-04 08:21:41,1,53625953,,,,49.55,,1,20000,2,35,43.118804931641,-85.494300842285,-1,,49.55,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_eG6GDVSyjpon07X,Default Response Set,Anonymous,,,68.0.151.122,0,2015-08-04 08:21:48,2015-08-04 08:22:04,1,28782132,,,,50,,1,22000,1,23,32.213195800781,-110.88729858398,-1,,50,$49.55,1,0,0,0,0,0,Mountain Standard Time,America/Phoenix,0,0,0,0,0,0,1,0,0,Highschool,0,0,0,0,1,0,Male
R_bKP1ZmRNFE4fk69,Default Response Set,Anonymous,,,72.185.224.229,0,2015-08-04 08:24:55,2015-08-04 08:25:25,1,13425071,,,50.00,,,2,10000,2,37,27.75309753418,-82.722396850586,-1,,50.00,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_eJW7m4h5HzKbx1H,Default Response Set,Anonymous,,,72.162.209.1,0,2015-08-04 08:30:36,2015-08-04 08:31:33,1,18472959,,,45,,,2,64000,4,38,32.220092773438,-82.433700561523,-1,,45,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_1LdjIlKyki6N0jz,Default Response Set,Anonymous,,,98.235.142.17,0,2015-08-04 08:36:25,2015-08-04 08:36:49,1,16854089,,30.00,,,,1,10000,1,43,40.308395385742,-76.69539642334,-1,,30.00,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Highschool,0,0,0,0,1,0,Male
R_3x76rI43dEPHLJr,Default Response Set,Anonymous,,,68.192.85.153,0,2015-08-04 08:37:25,2015-08-04 08:37:44,1,84252438,,,,,20.00,2,59000,2,26,41.126693725586,-73.569999694824,-1,,20.00,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_eyralddSANXqi9v,Default Response Set,Anonymous,,,72.204.143.16,0,2015-08-04 08:38:33,2015-08-04 08:38:56,1,88511806,35,,,,,2,60000,2,25,29.848495483398,-90.063301086426,-1,,35,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_0096bygZjRKTXj7,Default Response Set,Anonymous,,,173.28.146.149,0,2015-08-04 08:52:49,2015-08-04 08:53:08,1,98604984,,,40.00,,,2,26000,5,43,37.732696533203,-89.203399658203,-1,,40.00,$50.45,0,0,0,0,1,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Female
R_eX8Ceh0IxKIVdaZ,Default Response Set,Anonymous,,,38.106.224.147,0,2015-08-04 08:58:17,2015-08-04 08:58:35,1,53353045,,40,,,,1,75000,5,31,41.922393798828,-87.652397155762,-1,,40,$50.08,0,0,0,1,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Male
R_9SsO2JCt944PsB7,Default Response Set,Anonymous,,,69.108.68.15,0,2015-08-04 08:59:26,2015-08-04 08:59:40,1,10359947,,,,,45,1,5000,1,22,34.099502563477,-118.41429901123,-1,,45,$49.92,0,1,0,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Highschool,0,0,0,0,1,0,Male
R_b25lBdQSarqhSu1,Default Response Set,Anonymous,,,45.48.90.166,0,2015-08-04 09:01:00,2015-08-04 09:01:35,1,26265069,,,,40.00,,2,39000,4,43,34.112396240234,-119.11070251465,-1,,40.00,$49.55,1,0,0,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Female
R_bHGhT846GBwCwFT,Default Response Set,Anonymous,,,67.164.80.159,0,2015-08-04 09:00:49,2015-08-04 09:02:04,1,31404433,,47.50,,,,1,49000,2,60,37.773498535156,-122.27880096436,-1,,47.50,$50.08,0,0,0,1,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,College,0,0,1,0,0,0,Male
R_cNITWr0lX2PqfQx,Default Response Set,Anonymous,,,69.142.202.61,0,2015-08-04 09:03:23,2015-08-04 09:03:47,1,56501255,,40,,,,1,65000,2,26,40.552505493164,-74.291496276855,-1,,40,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_b4roIrWpTdM7uHb,Default Response Set,Anonymous,,,76.127.229.138,0,2015-08-04 09:12:58,2015-08-04 09:13:16,1,42010901,,,,30,,2,30000,5,36,42.22380065918,-72.640899658203,-1,,30,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Female
R_da8ftuNEbSDaNed,Default Response Set,Anonymous,,,66.69.60.169,0,2015-08-04 09:25:48,2015-08-04 09:26:09,1,71690704,35,,,,,1,20000,2,34,29.396194458008,-98.460998535156,-1,,35,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_eD2D64RnSKUxWYJ,Default Response Set,Anonymous,,,70.170.18.224,0,2015-08-04 09:26:02,2015-08-04 09:26:28,1,69024912,,,,,44.92,1,35000,3,28,36.198196411133,-115.31050109863,-1,,44.92,$49.92,0,1,0,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Associates,1,0,0,0,0,0,Male
R_4OXlBBcDxMOfjaR,Default Response Set,Anonymous,,,73.32.2.90,0,2015-08-04 09:29:42,2015-08-04 09:30:04,1,13126916,,,50.45,,,2,32000,2,26,29.751007080078,-95.612998962402,-1,,50.45,$50.45,0,0,0,0,1,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,College,0,0,1,0,0,0,Female
R_5gmWt82F5k0hHgh,Default Response Set,Anonymous,,,74.4.177.166,0,2015-08-04 09:39:21,2015-08-04 09:39:55,1,38021568,,50.00,,,,2,71000,2,30,45.544692993164,-121.154296875,-1,,50.00,$50.08,0,0,0,1,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,College,0,0,1,0,0,0,Female
